K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Test 171, loss: 0.921069, test acc: 0.800000, test avg acc: 0.788889
Train 172, loss: 0.853735, train acc: 0.926667, train avg acc: 0.925748
Test 172, loss: 0.907830, test acc: 0.825000, test avg acc: 0.813889
Train 173, loss: 0.840981, train acc: 0.906667, train avg acc: 0.907326
Test 173, loss: 0.899414, test acc: 0.875000, test avg acc: 0.866667
Train 174, loss: 0.862831, train acc: 0.900000, train avg acc: 0.899716
Test 174, loss: 0.910775, test acc: 0.900000, test avg acc: 0.891667
Train 175, loss: 0.893120, train acc: 0.873333, train avg acc: 0.879968
Test 175, loss: 0.907338, test acc: 0.850000, test avg acc: 0.841667
Train 176, loss: 0.855049, train acc: 0.933333, train avg acc: 0.935889
Test 176, loss: 0.912906, test acc: 0.850000, test avg acc: 0.844444
Train 177, loss: 0.858476, train acc: 0.900000, train avg acc: 0.899573
Test 177, loss: 0.904377, test acc: 0.875000, test avg acc: 0.869444
Train 178, loss: 0.856367, train acc: 0.886667, train avg acc: 0.892628
Test 178, loss: 0.897717, test acc: 0.850000, test avg acc: 0.841667
Train 179, loss: 0.879117, train acc: 0.906667, train avg acc: 0.906517
Test 179, loss: 0.891553, test acc: 0.825000, test avg acc: 0.819444
Train 180, loss: 0.856906, train acc: 0.926667, train avg acc: 0.927289
Test 180, loss: 0.888483, test acc: 0.825000, test avg acc: 0.819444
Train 181, loss: 0.851530, train acc: 0.933333, train avg acc: 0.932432
Test 181, loss: 0.883367, test acc: 0.900000, test avg acc: 0.894444
Train 182, loss: 0.891208, train acc: 0.853333, train avg acc: 0.851974
Test 182, loss: 0.892708, test acc: 0.875000, test avg acc: 0.869444
Train 183, loss: 0.860085, train acc: 0.880000, train avg acc: 0.880804
Test 183, loss: 0.906084, test acc: 0.850000, test avg acc: 0.841667
Train 184, loss: 0.879494, train acc: 0.886667, train avg acc: 0.886630
Test 184, loss: 0.916873, test acc: 0.850000, test avg acc: 0.841667
Train 185, loss: 0.898444, train acc: 0.866667, train avg acc: 0.863166
Test 185, loss: 0.910115, test acc: 0.875000, test avg acc: 0.866667
Train 186, loss: 0.872055, train acc: 0.900000, train avg acc: 0.902608
Test 186, loss: 0.899605, test acc: 0.875000, test avg acc: 0.866667
Train 187, loss: 0.858308, train acc: 0.900000, train avg acc: 0.897985
Test 187, loss: 0.891742, test acc: 0.900000, test avg acc: 0.894444
Train 188, loss: 0.846919, train acc: 0.926667, train avg acc: 0.925676
Test 188, loss: 0.884621, test acc: 0.900000, test avg acc: 0.894444
