K: 5, local_K: 5, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Test 166, loss: 0.981878, test acc: 0.800000, test avg acc: 0.786111
Train 167, loss: 0.775908, train acc: 0.993333, train avg acc: 0.993056
Test 167, loss: 0.993787, test acc: 0.775000, test avg acc: 0.761111
Train 168, loss: 0.765455, train acc: 1.000000, train avg acc: 1.000000
Test 168, loss: 1.016441, test acc: 0.750000, test avg acc: 0.733333
Train 169, loss: 0.761351, train acc: 0.993333, train avg acc: 0.993421
Test 169, loss: 1.042462, test acc: 0.800000, test avg acc: 0.783333
Train 170, loss: 0.787395, train acc: 0.960000, train avg acc: 0.961192
Test 170, loss: 1.000860, test acc: 0.800000, test avg acc: 0.783333
Train 171, loss: 0.761529, train acc: 1.000000, train avg acc: 1.000000
Test 171, loss: 0.937440, test acc: 0.800000, test avg acc: 0.788889
Train 172, loss: 0.772229, train acc: 0.986667, train avg acc: 0.986645
Test 172, loss: 0.955781, test acc: 0.775000, test avg acc: 0.763889
Train 173, loss: 0.780480, train acc: 0.986667, train avg acc: 0.986842
Test 173, loss: 0.960459, test acc: 0.825000, test avg acc: 0.811111
Train 174, loss: 0.773092, train acc: 1.000000, train avg acc: 1.000000
Test 174, loss: 0.979137, test acc: 0.775000, test avg acc: 0.761111
Train 175, loss: 0.766246, train acc: 0.993333, train avg acc: 0.993590
Test 175, loss: 0.972137, test acc: 0.775000, test avg acc: 0.761111
Train 176, loss: 0.776753, train acc: 0.986667, train avg acc: 0.987011
Test 176, loss: 0.956812, test acc: 0.800000, test avg acc: 0.788889
Train 177, loss: 0.764694, train acc: 0.980000, train avg acc: 0.979908
Test 177, loss: 0.959201, test acc: 0.800000, test avg acc: 0.788889
Train 178, loss: 0.759643, train acc: 1.000000, train avg acc: 1.000000
Test 178, loss: 0.956479, test acc: 0.800000, test avg acc: 0.788889
Train 179, loss: 0.779070, train acc: 0.986667, train avg acc: 0.987340
Test 179, loss: 0.971820, test acc: 0.775000, test avg acc: 0.761111
Train 180, loss: 0.779600, train acc: 0.993333, train avg acc: 0.993750
Test 180, loss: 0.995912, test acc: 0.775000, test avg acc: 0.758333
Train 181, loss: 0.770610, train acc: 0.993333, train avg acc: 0.993750
Test 181, loss: 0.969200, test acc: 0.775000, test avg acc: 0.758333
Train 182, loss: 0.768616, train acc: 0.993333, train avg acc: 0.993421
Test 182, loss: 0.962342, test acc: 0.775000, test avg acc: 0.761111
Train 183, loss: 0.777153, train acc: 0.993333, train avg acc: 0.993243
Test 183, loss: 0.975823, test acc: 0.775000, test avg acc: 0.761111
Train 184, loss: 0.772309, train acc: 1.000000, train avg acc: 1.000000
Test 184, loss: 0.976048, test acc: 0.825000, test avg acc: 0.811111
Train 185, loss: 0.766735, train acc: 0.993333, train avg acc: 0.993902
Test 185, loss: 0.951943, test acc: 0.825000, test avg acc: 0.811111
Train 186, loss: 0.773460, train acc: 0.986667, train avg acc: 0.986664
Test 186, loss: 0.956450, test acc: 0.800000, test avg acc: 0.788889
Train 187, loss: 0.770933, train acc: 0.993333, train avg acc: 0.993056
Test 187, loss: 0.957391, test acc: 0.775000, test avg acc: 0.761111
Train 188, loss: 0.766845, train acc: 1.000000, train avg acc: 1.000000
Test 188, loss: 0.973287, test acc: 0.775000, test avg acc: 0.761111
