K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet_norm
Test 132, loss: 0.919247, test acc: 0.725000, test avg acc: 0.713889
Train 133, loss: 0.895619, train acc: 0.873333, train avg acc: 0.877083
Test 133, loss: 0.910113, test acc: 0.775000, test avg acc: 0.758333
Train 134, loss: 0.878902, train acc: 0.853333, train avg acc: 0.854196
Test 134, loss: 0.914203, test acc: 0.800000, test avg acc: 0.783333
Train 135, loss: 0.894513, train acc: 0.846667, train avg acc: 0.839377
Test 135, loss: 0.912734, test acc: 0.800000, test avg acc: 0.783333
Train 136, loss: 0.875759, train acc: 0.846667, train avg acc: 0.848901
Test 136, loss: 0.909960, test acc: 0.825000, test avg acc: 0.811111
Train 137, loss: 0.887707, train acc: 0.866667, train avg acc: 0.872967
Test 137, loss: 0.914842, test acc: 0.750000, test avg acc: 0.738889
Train 138, loss: 0.866162, train acc: 0.860000, train avg acc: 0.859524
Test 138, loss: 0.925621, test acc: 0.750000, test avg acc: 0.738889
Train 139, loss: 0.878132, train acc: 0.846667, train avg acc: 0.848753
Test 139, loss: 0.918932, test acc: 0.725000, test avg acc: 0.713889
Train 140, loss: 0.861975, train acc: 0.880000, train avg acc: 0.883333
Test 140, loss: 0.915031, test acc: 0.750000, test avg acc: 0.738889
Train 141, loss: 0.870659, train acc: 0.866667, train avg acc: 0.866999
Test 141, loss: 0.909228, test acc: 0.800000, test avg acc: 0.783333
Train 142, loss: 0.865163, train acc: 0.880000, train avg acc: 0.881579
Test 142, loss: 0.911241, test acc: 0.800000, test avg acc: 0.783333
Train 143, loss: 0.863123, train acc: 0.873333, train avg acc: 0.878205
Test 143, loss: 0.912656, test acc: 0.800000, test avg acc: 0.783333
Train 144, loss: 0.882846, train acc: 0.853333, train avg acc: 0.857962
Test 144, loss: 0.918538, test acc: 0.750000, test avg acc: 0.736111
Train 145, loss: 0.858420, train acc: 0.873333, train avg acc: 0.875000
Test 145, loss: 0.920686, test acc: 0.725000, test avg acc: 0.711111
Train 146, loss: 0.872378, train acc: 0.866667, train avg acc: 0.871457
Test 146, loss: 0.915519, test acc: 0.700000, test avg acc: 0.686111
Train 147, loss: 0.861670, train acc: 0.873333, train avg acc: 0.873932
Test 147, loss: 0.915095, test acc: 0.775000, test avg acc: 0.761111
Train 148, loss: 0.883915, train acc: 0.860000, train avg acc: 0.865385
Test 148, loss: 0.916816, test acc: 0.775000, test avg acc: 0.758333
Train 149, loss: 0.885452, train acc: 0.866667, train avg acc: 0.870062
Test 149, loss: 0.920681, test acc: 0.800000, test avg acc: 0.783333
Train 150, loss: 0.881063, train acc: 0.893333, train avg acc: 0.894203
Test 150, loss: 0.928683, test acc: 0.775000, test avg acc: 0.758333
Train 151, loss: 0.899625, train acc: 0.840000, train avg acc: 0.843792
Test 151, loss: 0.932987, test acc: 0.800000, test avg acc: 0.783333
Train 152, loss: 0.886936, train acc: 0.840000, train avg acc: 0.841649
Test 152, loss: 0.921799, test acc: 0.800000, test avg acc: 0.783333
Train 153, loss: 0.872876, train acc: 0.866667, train avg acc: 0.863736
Test 153, loss: 0.914980, test acc: 0.750000, test avg acc: 0.736111
Train 154, loss: 0.888579, train acc: 0.840000, train avg acc: 0.846382
Test 154, loss: 0.914876, test acc: 0.800000, test avg acc: 0.788889
Train 155, loss: 0.842156, train acc: 0.913333, train avg acc: 0.914460
Test 155, loss: 0.913731, test acc: 0.800000, test avg acc: 0.788889
Train 156, loss: 0.907095, train acc: 0.820000, train avg acc: 0.822368
Test 156, loss: 0.916405, test acc: 0.775000, test avg acc: 0.763889
Train 157, loss: 0.867573, train acc: 0.893333, train avg acc: 0.893670
Test 157, loss: 0.920766, test acc: 0.800000, test avg acc: 0.788889
Train 158, loss: 0.882306, train acc: 0.886667, train avg acc: 0.892788
Test 158, loss: 0.912003, test acc: 0.800000, test avg acc: 0.788889
Train 159, loss: 0.883551, train acc: 0.860000, train avg acc: 0.863889
Test 159, loss: 0.912030, test acc: 0.775000, test avg acc: 0.766667
Train 160, loss: 0.884026, train acc: 0.880000, train avg acc: 0.878739
Test 160, loss: 0.915561, test acc: 0.775000, test avg acc: 0.766667
Train 161, loss: 0.869927, train acc: 0.866667, train avg acc: 0.866110
Test 161, loss: 0.914108, test acc: 0.725000, test avg acc: 0.711111
Train 162, loss: 0.891740, train acc: 0.866667, train avg acc: 0.875642
Test 162, loss: 0.918939, test acc: 0.750000, test avg acc: 0.741667
Train 163, loss: 0.855849, train acc: 0.873333, train avg acc: 0.872076
Test 163, loss: 0.925665, test acc: 0.775000, test avg acc: 0.763889
Train 164, loss: 0.870660, train acc: 0.866667, train avg acc: 0.866999
Test 164, loss: 0.918141, test acc: 0.775000, test avg acc: 0.758333
Train 165, loss: 0.883326, train acc: 0.866667, train avg acc: 0.869255
