K: 16, local_K: 16, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 148, loss: 0.871280, train acc: 0.906250, train avg acc: 0.907012
Test 148, loss: 0.970565, test acc: 0.800000, test avg acc: 0.786111
Train 149, loss: 0.874798, train acc: 0.918750, train avg acc: 0.920274
Test 149, loss: 0.956940, test acc: 0.775000, test avg acc: 0.758333
Train 150, loss: 0.877822, train acc: 0.900000, train avg acc: 0.901220
Test 150, loss: 0.942692, test acc: 0.750000, test avg acc: 0.741667
Train 151, loss: 0.881547, train acc: 0.862500, train avg acc: 0.864634
Test 151, loss: 0.950121, test acc: 0.800000, test avg acc: 0.783333
Train 152, loss: 0.876935, train acc: 0.887500, train avg acc: 0.889024
Test 152, loss: 0.971761, test acc: 0.700000, test avg acc: 0.691667
Train 153, loss: 0.893248, train acc: 0.862500, train avg acc: 0.863720
Test 153, loss: 0.967914, test acc: 0.775000, test avg acc: 0.755556
Train 154, loss: 0.867274, train acc: 0.906250, train avg acc: 0.907470
Test 154, loss: 0.967449, test acc: 0.750000, test avg acc: 0.741667
Train 155, loss: 0.870295, train acc: 0.906250, train avg acc: 0.907165
Test 155, loss: 0.947096, test acc: 0.750000, test avg acc: 0.741667
Train 156, loss: 0.873741, train acc: 0.887500, train avg acc: 0.888720
Test 156, loss: 0.954400, test acc: 0.750000, test avg acc: 0.741667
Train 157, loss: 0.848312, train acc: 0.925000, train avg acc: 0.926067
Test 157, loss: 0.995324, test acc: 0.825000, test avg acc: 0.808333
Train 158, loss: 0.849247, train acc: 0.943750, train avg acc: 0.944360
Test 158, loss: 0.964568, test acc: 0.825000, test avg acc: 0.816667
Train 159, loss: 0.875867, train acc: 0.900000, train avg acc: 0.901220
Test 159, loss: 0.948278, test acc: 0.825000, test avg acc: 0.813889
Train 160, loss: 0.854648, train acc: 0.887500, train avg acc: 0.889177
Test 160, loss: 0.937838, test acc: 0.825000, test avg acc: 0.816667
Train 161, loss: 0.845949, train acc: 0.900000, train avg acc: 0.900915
Test 161, loss: 0.976884, test acc: 0.775000, test avg acc: 0.755556
Train 162, loss: 0.857777, train acc: 0.906250, train avg acc: 0.906844
Test 162, loss: 0.986884, test acc: 0.825000, test avg acc: 0.811111
Train 163, loss: 0.893673, train acc: 0.875000, train avg acc: 0.876829
Test 163, loss: 0.943277, test acc: 0.800000, test avg acc: 0.786111
Train 164, loss: 0.891840, train acc: 0.862500, train avg acc: 0.863720
Test 164, loss: 0.957538, test acc: 0.775000, test avg acc: 0.761111
Train 165, loss: 0.879662, train acc: 0.906250, train avg acc: 0.907470
Test 165, loss: 0.949348, test acc: 0.750000, test avg acc: 0.741667
Train 166, loss: 0.840614, train acc: 0.912500, train avg acc: 0.913567
Test 166, loss: 0.940175, test acc: 0.800000, test avg acc: 0.788889
Train 167, loss: 0.854647, train acc: 0.918750, train avg acc: 0.920122
Test 167, loss: 0.973237, test acc: 0.750000, test avg acc: 0.733333
Train 168, loss: 0.844058, train acc: 0.937500, train avg acc: 0.938415
Test 168, loss: 0.985255, test acc: 0.775000, test avg acc: 0.758333
Train 169, loss: 0.876300, train acc: 0.906250, train avg acc: 0.907470
Test 169, loss: 0.961167, test acc: 0.800000, test avg acc: 0.786111
Train 170, loss: 0.834980, train acc: 0.943750, train avg acc: 0.944665
Test 170, loss: 0.975940, test acc: 0.725000, test avg acc: 0.708333
Train 171, loss: 0.836393, train acc: 0.918750, train avg acc: 0.919665
Test 171, loss: 0.971591, test acc: 0.750000, test avg acc: 0.736111
Train 172, loss: 0.833812, train acc: 0.956250, train avg acc: 0.956707
Test 172, loss: 0.967643, test acc: 0.725000, test avg acc: 0.713889
Train 173, loss: 0.849316, train acc: 0.931250, train avg acc: 0.932012
Test 173, loss: 0.981562, test acc: 0.775000, test avg acc: 0.755556
Train 174, loss: 0.827872, train acc: 0.956250, train avg acc: 0.956860
Test 174, loss: 0.979248, test acc: 0.800000, test avg acc: 0.791667
Train 175, loss: 0.829645, train acc: 0.950000, train avg acc: 0.950305
Test 175, loss: 0.983909, test acc: 0.750000, test avg acc: 0.733333
Train 176, loss: 0.833240, train acc: 0.937500, train avg acc: 0.938262
Test 176, loss: 1.027608, test acc: 0.775000, test avg acc: 0.761111
Train 177, loss: 0.857410, train acc: 0.943750, train avg acc: 0.944512
Test 177, loss: 1.004159, test acc: 0.725000, test avg acc: 0.711111
Train 178, loss: 0.879457, train acc: 0.925000, train avg acc: 0.925762
Test 178, loss: 0.972690, test acc: 0.825000, test avg acc: 0.822222
Train 179, loss: 0.853305, train acc: 0.925000, train avg acc: 0.925457
Test 179, loss: 0.978959, test acc: 0.775000, test avg acc: 0.761111
Train 180, loss: 0.850165, train acc: 0.925000, train avg acc: 0.925762
Test 180, loss: 0.995563, test acc: 0.725000, test avg acc: 0.708333
Train 181, loss: 0.820346, train acc: 0.943750, train avg acc: 0.944512
Test 181, loss: 0.990090, test acc: 0.725000, test avg acc: 0.711111
Train 182, loss: 0.857389, train acc: 0.937500, train avg acc: 0.937942
Test 182, loss: 1.015005, test acc: 0.725000, test avg acc: 0.708333
Train 183, loss: 0.834728, train acc: 0.925000, train avg acc: 0.925457
Test 183, loss: 0.973223, test acc: 0.825000, test avg acc: 0.811111
Train 184, loss: 0.834270, train acc: 0.956250, train avg acc: 0.957012
Test 184, loss: 0.970901, test acc: 0.750000, test avg acc: 0.738889
Train 185, loss: 0.825585, train acc: 0.975000, train avg acc: 0.975152
Test 185, loss: 0.977804, test acc: 0.750000, test avg acc: 0.733333
Train 186, loss: 0.814646, train acc: 0.975000, train avg acc: 0.975457
Test 186, loss: 1.000724, test acc: 0.750000, test avg acc: 0.736111
Train 187, loss: 0.841104, train acc: 0.937500, train avg acc: 0.937957
Test 187, loss: 1.016103, test acc: 0.750000, test avg acc: 0.738889
Train 188, loss: 0.796282, train acc: 0.981250, train avg acc: 0.981402
Test 188, loss: 1.031239, test acc: 0.775000, test avg acc: 0.758333
