K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet
Test 178, loss: 1.238747, test acc: 0.575000, test avg acc: 0.567424
Train 179, loss: 1.279957, train acc: 0.480000, train avg acc: 0.491486
Test 179, loss: 1.247080, test acc: 0.550000, test avg acc: 0.537879
Train 180, loss: 1.290825, train acc: 0.446667, train avg acc: 0.445590
Test 180, loss: 1.250583, test acc: 0.525000, test avg acc: 0.512879
Train 181, loss: 1.289124, train acc: 0.440000, train avg acc: 0.443556
Test 181, loss: 1.251115, test acc: 0.550000, test avg acc: 0.537879
Train 182, loss: 1.270477, train acc: 0.493333, train avg acc: 0.492620
Test 182, loss: 1.245029, test acc: 0.525000, test avg acc: 0.512374
Train 183, loss: 1.291824, train acc: 0.446667, train avg acc: 0.451397
Test 183, loss: 1.242937, test acc: 0.500000, test avg acc: 0.489646
Train 184, loss: 1.275094, train acc: 0.480000, train avg acc: 0.475685
Test 184, loss: 1.248692, test acc: 0.525000, test avg acc: 0.511869
Train 185, loss: 1.297289, train acc: 0.500000, train avg acc: 0.498755
Test 185, loss: 1.246153, test acc: 0.525000, test avg acc: 0.511869
Train 186, loss: 1.280473, train acc: 0.466667, train avg acc: 0.465575
Test 186, loss: 1.236600, test acc: 0.550000, test avg acc: 0.539646
Train 187, loss: 1.274002, train acc: 0.493333, train avg acc: 0.498964
Test 187, loss: 1.230434, test acc: 0.600000, test avg acc: 0.590152
Train 188, loss: 1.282566, train acc: 0.453333, train avg acc: 0.456437
Test 188, loss: 1.224275, test acc: 0.600000, test avg acc: 0.590152
